candidate_id,rank,score,reasoning
CAND_0071974,1,0.8703,Senior AI Engineer with 7.8 yrs; 19 skills (8 JD-relevant incl. Weaviate; Pinecone; Machine Learning); response rate 0.76; GitHub 82.8/100.
CAND_0002025,2,0.8495,Senior AI Engineer with 5.9 yrs; 20 skills (9 JD-relevant incl. FAISS; TensorFlow; Weaviate); response rate 0.80; GitHub 96.9/100.
CAND_0046525,3,0.8431,Senior Machine Learning Engineer with 6.1 yrs; 17 skills (7 JD-relevant incl. LangChain; Machine Learning; LlamaIndex); response rate 0.88; GitHub 36.7/100.
CAND_0086022,4,0.8428,Senior Applied Scientist with 5.3 yrs; 19 skills (8 JD-relevant incl. Deep Learning; Pinecone; Embeddings); response rate 0.55; GitHub 75.2/100.
CAND_0088025,5,0.8427,Staff Machine Learning Engineer with 8.6 yrs; 19 skills (8 JD-relevant incl. Pinecone; Hugging Face Transformers; RAG); response rate 0.83; GitHub 74.6/100.
CAND_0011687,6,0.8314,Senior NLP Engineer with 7.8 yrs; 13 skills (8 JD-relevant incl. TensorFlow; FAISS; Embeddings); response rate 0.89; GitHub 76.3/100.
CAND_0029367,7,0.827,Senior Data Scientist with 5.7 yrs; 17 skills (8 JD-relevant incl. TensorFlow; FAISS; Sentence Transformers); response rate 0.77; GitHub 39.8/100.
CAND_0089552,8,0.8076,Machine Learning Engineer with 6.0 yrs; 19 skills (6 JD-relevant incl. Weaviate; TensorFlow; Qdrant); response rate 0.49; GitHub 38.4/100.
CAND_0068351,9,0.8069,Lead AI Engineer with 6.4 yrs; 19 skills (5 JD-relevant incl. Deep Learning; Qdrant; Python); response rate 0.86; no GitHub linked.
CAND_0065195,10,0.8064,Search Engineer with 5.1 yrs; 13 skills (4 JD-relevant incl. Hugging Face Transformers; Qdrant; MLOps); response rate 0.80; GitHub 87.3/100.
CAND_0030031,11,0.8047,AI Engineer with 5.7 yrs; 16 skills (5 JD-relevant incl. PyTorch; Python; NLP); response rate 0.94; GitHub 32.4/100.
CAND_0083307,12,0.8039,Search Engineer with 7.8 yrs; 18 skills (5 JD-relevant incl. Embeddings; Pinecone; Weaviate); response rate 0.70; GitHub 69.2/100.
CAND_0074735,13,0.7974,Applied ML Engineer with 5.5 yrs; 20 skills (5 JD-relevant incl. RAG; LlamaIndex; Machine Learning); response rate 0.77; GitHub 87.7/100.
CAND_0084819,14,0.7932,Search Engineer with 4.5 yrs; 17 skills (6 JD-relevant incl. MLOps; LlamaIndex; Docker); response rate 0.74; GitHub 55.6/100.
CAND_0053591,15,0.7901,AI Engineer with 5.3 yrs; 14 skills (5 JD-relevant incl. LangChain; Embeddings; Sentence Transformers); response rate 0.81; GitHub 75.8/100.
CAND_0042029,16,0.7878,Senior Data Scientist with 6.5 yrs; 18 skills (7 JD-relevant incl. PyTorch; NLP; RAG); response rate 0.67; GitHub 78.7/100.
CAND_0081846,17,0.7851,Lead AI Engineer with 6.7 yrs; 18 skills (7 JD-relevant incl. LlamaIndex; PyTorch; Deep Learning); response rate 0.73; GitHub 33.7/100.
CAND_0044855,18,0.7842,Senior Data Scientist with 6.6 yrs; 17 skills (6 JD-relevant incl. Hugging Face Transformers; Pinecone; Machine Learning); response rate 0.57; GitHub 46.7/100.
CAND_0049896,19,0.7816,Search Engineer with 7.3 yrs; 16 skills (6 JD-relevant incl. LangChain; LlamaIndex; Sentence Transformers); response rate 0.43; no GitHub linked.
CAND_0077337,20,0.7802,Staff Machine Learning Engineer with 7.0 yrs; 20 skills (6 JD-relevant incl. Pinecone; RAG; Qdrant); response rate 0.95; GitHub 68.0/100.
